Sale_ID,Customer_ID,Vehicle_Model_sale,Year,Price,Sale_Date,Region,Sale_Year,Sale_Month,Service_ID,Vehicle_Model_service,Service_Type,Service_Cost,Service_Date,Service_Year,Service_Month,Customer_Lifetime_Value
356.0,5,Kia Sportage,2018.0,6859536.0,2022-03-14,Quetta,2022.0,3.0,6718.0,MG HS,Oil Change,24819.0,2024-10-22,2024.0,10.0,6884355.0
356.0,5,Kia Sportage,2018.0,6859536.0,2022-03-14,Quetta,2022.0,3.0,6778.0,Suzuki Cultus,Engine Check,78709.0,2025-06-03,2025.0,6.0,6938245.0
356.0,5,Kia Sportage,2018.0,6859536.0,2022-03-14,Quetta,2022.0,3.0,6904.0,Hyundai Tucson,Tire Rotation,74374.0,2024-06-18,2024.0,6.0,6933910.0
6300.0,5,Honda City,2019.0,5089785.0,2020-12-17,Faisalabad,2020.0,12.0,5424.0,Hyundai Tucson,Engine Check,9401.0,2025-09-20,2025.0,9.0,5099186.0
6300.0,5,Honda City,2019.0,5089785.0,2020-12-17,Faisalabad,2020.0,12.0,6718.0,MG HS,Oil Change,24819.0,2024-10-22,2024.0,10.0,5114604.0
6300.0,5,Honda City,2019.0,5089785.0,2020-12-17,Faisalabad,2020.0,12.0,6778.0,Suzuki Cultus,Engine Check,78709.0,2025-06-03,2025.0,6.0,5168494.0
6300.0,5,Honda City,2019.0,5089785.0,2020-12-17,Faisalabad,2020.0,12.0,6904.0,Hyundai Tucson,Tire Rotation,74374.0,2024-06-18,2024.0,6.0,5164159.0
817.0,6,Hyundai Tucson,2024.0,2245886.0,2025-06-30,Multan,2025.0,6.0,1703.0,Suzuki Cultus,Tire Rotation,22026.0,2024-01-19,2024.0,1.0,2267912.0
817.0,6,Hyundai Tucson,2024.0,2245886.0,2025-06-30,Multan,2025.0,6.0,2146.0,Honda Civic,Oil Change,62970.0,2022-12-22,2022.0,12.0,2308856.0
817.0,6,Hyundai Tucson,2024.0,2245886.0,2025-06-30,Multan,2025.0,6.0,5903.0,Changan Alsvin,Battery Replacement,67564.0,2025-02-12,2025.0,2.0,2313450.0
2921.0,7,Suzuki Cultus,2018.0,1798193.0,2021-01-27,Faisalabad,2021.0,1.0,4721.0,Toyota Corolla,Oil Change,49044.0,2022-10-30,2022.0,10.0,1847237.0
2921.0,7,Suzuki Cultus,2018.0,1798193.0,2021-01-27,Faisalabad,2021.0,1.0,5576.0,Hyundai Tucson,Oil Change,25268.0,2025-09-15,2025.0,9.0,1823461.0
2921.0,7,Suzuki Cultus,2018.0,1798193.0,2021-01-27,Faisalabad,2021.0,1.0,8209.0,Honda Civic,Brake Service,15551.0,2022-02-04,2022.0,2.0,1813744.0
2558.0,8,Suzuki Alto,2016.0,9248366.0,2022-12-05,Quetta,2022.0,12.0,9910.0,Suzuki Alto,Brake Service,77416.0,2021-12-09,2021.0,12.0,9325782.0
3420.0,8,Toyota Fortuner,2015.0,4073238.0,2024-06-10,Karachi,2024.0,6.0,9910.0,Suzuki Alto,Brake Service,77416.0,2021-12-09,2021.0,12.0,4150654.0
9849.0,8,Honda Civic,2019.0,2408412.0,2023-08-21,Lahore,2023.0,8.0,9910.0,Suzuki Alto,Brake Service,77416.0,2021-12-09,2021.0,12.0,2485828.0
,9,,,,,,,,2311.0,Changan Alsvin,Brake Service,62413.0,2023-01-27,2023.0,1.0,
,9,,,,,,,,3400.0,Changan Alsvin,Oil Change,37426.0,2024-06-22,2024.0,6.0,
,9,,,,,,,,6041.0,Kia Sportage,Brake Service,44231.0,2025-03-13,2025.0,3.0,
617.0,10,Hyundai Tucson,2020.0,3167487.0,2025-04-08,Faisalabad,2025.0,4.0,,,,,,,,
847.0,10,Changan Alsvin,2024.0,5313460.0,2021-01-04,Faisalabad,2021.0,1.0,,,,,,,,
1917.0,10,Suzuki Alto,2024.0,5636334.0,2024-10-01,Multan,2024.0,10.0,,,,,,,,
8641.0,10,Changan Alsvin,2023.0,9896269.0,2021-06-30,Karachi,2021.0,6.0,,,,,,,,
1326.0,11,Kia Sportage,2020.0,7569900.0,2022-06-04,Faisalabad,2022.0,6.0,,,,,,,,
8755.0,11,Toyota Fortuner,2019.0,8479484.0,2020-10-29,Karachi,2020.0,10.0,,,,,,,,
1857.0,12,Suzuki Cultus,2018.0,2874742.0,2021-09-28,Lahore,2021.0,9.0,1705.0,Changan Alsvin,Oil Change,56790.0,2022-05-11,2022.0,5.0,2931532.0
1857.0,12,Suzuki Cultus,2018.0,2874742.0,2021-09-28,Lahore,2021.0,9.0,7490.0,Toyota Fortuner,Brake Service,5842.0,2024-09-11,2024.0,9.0,2880584.0
5013.0,12,Toyota Corolla,2018.0,6972100.0,2025-09-19,Multan,2025.0,9.0,1705.0,Changan Alsvin,Oil Change,56790.0,2022-05-11,2022.0,5.0,7028890.0
5013.0,12,Toyota Corolla,2018.0,6972100.0,2025-09-19,Multan,2025.0,9.0,7490.0,Toyota Fortuner,Brake Service,5842.0,2024-09-11,2024.0,9.0,6977942.0
9912.0,12,Honda City,2019.0,5051795.0,2022-12-11,Peshawar,2022.0,12.0,1705.0,Changan Alsvin,Oil Change,56790.0,2022-05-11,2022.0,5.0,5108585.0
9912.0,12,Honda City,2019.0,5051795.0,2022-12-11,Peshawar,2022.0,12.0,7490.0,Toyota Fortuner,Brake Service,5842.0,2024-09-11,2024.0,9.0,5057637.0
7385.0,13,Changan Alsvin,2024.0,3230774.0,2022-09-28,Peshawar,2022.0,9.0,6108.0,Honda City,Battery Replacement,39690.0,2021-11-02,2021.0,11.0,3270464.0
7385.0,13,Changan Alsvin,2024.0,3230774.0,2022-09-28,Peshawar,2022.0,9.0,6621.0,Changan Alsvin,Tire Rotation,33560.0,2022-10-11,2022.0,10.0,3264334.0
7385.0,13,Changan Alsvin,2024.0,3230774.0,2022-09-28,Peshawar,2022.0,9.0,9090.0,Hyundai Tucson,Brake Service,25502.0,2022-08-01,2022.0,8.0,3256276.0
8667.0,13,MG HS,2016.0,1877486.0,2021-02-04,Quetta,2021.0,2.0,6108.0,Honda City,Battery Replacement,39690.0,2021-11-02,2021.0,11.0,1917176.0
8667.0,13,MG HS,2016.0,1877486.0,2021-02-04,Quetta,2021.0,2.0,6621.0,Changan Alsvin,Tire Rotation,33560.0,2022-10-11,2022.0,10.0,1911046.0
8667.0,13,MG HS,2016.0,1877486.0,2021-02-04,Quetta,2021.0,2.0,9090.0,Hyundai Tucson,Brake Service,25502.0,2022-08-01,2022.0,8.0,1902988.0
1697.0,14,Hyundai Tucson,2022.0,6447229.0,2021-11-03,Multan,2021.0,11.0,4341.0,Toyota Corolla,Tire Rotation,19896.0,2022-12-03,2022.0,12.0,6467125.0
1697.0,14,Hyundai Tucson,2022.0,6447229.0,2021-11-03,Multan,2021.0,11.0,7955.0,Hyundai Tucson,Oil Change,27199.0,2023-12-05,2023.0,12.0,6474428.0
8713.0,14,Kia Sportage,2022.0,3191824.0,2023-11-12,Karachi,2023.0,11.0,4341.0,Toyota Corolla,Tire Rotation,19896.0,2022-12-03,2022.0,12.0,3211720.0
8713.0,14,Kia Sportage,2022.0,3191824.0,2023-11-12,Karachi,2023.0,11.0,7955.0,Hyundai Tucson,Oil Change,27199.0,2023-12-05,2023.0,12.0,3219023.0
,15,,,,,,,,2118.0,Honda Civic,Brake Service,18328.0,2024-06-04,2024.0,6.0,
4989.0,16,Changan Alsvin,2024.0,4960292.0,2025-07-18,Multan,2025.0,7.0,208.0,Changan Alsvin,Engine Check,33876.0,2022-10-31,2022.0,10.0,4994168.0
4989.0,16,Changan Alsvin,2024.0,4960292.0,2025-07-18,Multan,2025.0,7.0,5660.0,Toyota Fortuner,Engine Check,38325.0,2023-05-27,2023.0,5.0,4998617.0
4989.0,16,Changan Alsvin,2024.0,4960292.0,2025-07-18,Multan,2025.0,7.0,9218.0,MG HS,Battery Replacement,32277.0,2023-02-03,2023.0,2.0,4992569.0
281.0,17,Suzuki Cultus,2016.0,7744642.0,2020-10-24,Quetta,2020.0,10.0,4216.0,MG HS,Brake Service,47242.0,2023-04-29,2023.0,4.0,7791884.0
2171.0,17,Suzuki Cultus,2019.0,5572557.0,2024-08-19,Lahore,2024.0,8.0,4216.0,MG HS,Brake Service,47242.0,2023-04-29,2023.0,4.0,5619799.0
4901.0,17,Hyundai Tucson,2017.0,4477782.0,2023-01-24,Karachi,2023.0,1.0,4216.0,MG HS,Brake Service,47242.0,2023-04-29,2023.0,4.0,4525024.0
9633.0,18,Suzuki Cultus,2016.0,9212299.0,2023-05-20,Quetta,2023.0,5.0,,,,,,,,
2827.0,19,MG HS,2023.0,5164057.0,2023-05-07,Lahore,2023.0,5.0,858.0,Honda City,Tire Rotation,16907.0,2024-04-09,2024.0,4.0,5180964.0
2827.0,19,MG HS,2023.0,5164057.0,2023-05-07,Lahore,2023.0,5.0,9350.0,Kia Sportage,Engine Check,53604.0,2025-01-09,2025.0,1.0,5217661.0
3715.0,19,Suzuki Alto,2019.0,1320201.0,2023-06-08,Peshawar,2023.0,6.0,858.0,Honda City,Tire Rotation,16907.0,2024-04-09,2024.0,4.0,1337108.0
3715.0,19,Suzuki Alto,2019.0,1320201.0,2023-06-08,Peshawar,2023.0,6.0,9350.0,Kia Sportage,Engine Check,53604.0,2025-01-09,2025.0,1.0,1373805.0
3981.0,19,Suzuki Alto,2021.0,5941968.0,2025-02-20,Multan,2025.0,2.0,858.0,Honda City,Tire Rotation,16907.0,2024-04-09,2024.0,4.0,5958875.0
3981.0,19,Suzuki Alto,2021.0,5941968.0,2025-02-20,Multan,2025.0,2.0,9350.0,Kia Sportage,Engine Check,53604.0,2025-01-09,2025.0,1.0,5995572.0
4227.0,19,Suzuki Alto,2016.0,7928350.0,2022-02-15,Quetta,2022.0,2.0,858.0,Honda City,Tire Rotation,16907.0,2024-04-09,2024.0,4.0,7945257.0
4227.0,19,Suzuki Alto,2016.0,7928350.0,2022-02-15,Quetta,2022.0,2.0,9350.0,Kia Sportage,Engine Check,53604.0,2025-01-09,2025.0,1.0,7981954.0
5307.0,19,Toyota Corolla,2019.0,5757495.0,2023-11-21,Peshawar,2023.0,11.0,858.0,Honda City,Tire Rotation,16907.0,2024-04-09,2024.0,4.0,5774402.0
5307.0,19,Toyota Corolla,2019.0,5757495.0,2023-11-21,Peshawar,2023.0,11.0,9350.0,Kia Sportage,Engine Check,53604.0,2025-01-09,2025.0,1.0,5811099.0
6197.0,19,Kia Sportage,2019.0,9639984.0,2022-10-17,Quetta,2022.0,10.0,858.0,Honda City,Tire Rotation,16907.0,2024-04-09,2024.0,4.0,9656891.0
6197.0,19,Kia Sportage,2019.0,9639984.0,2022-10-17,Quetta,2022.0,10.0,9350.0,Kia Sportage,Engine Check,53604.0,2025-01-09,2025.0,1.0,9693588.0
6481.0,19,Hyundai Tucson,2016.0,9684798.0,2023-06-02,Multan,2023.0,6.0,858.0,Honda City,Tire Rotation,16907.0,2024-04-09,2024.0,4.0,9701705.0
6481.0,19,Hyundai Tucson,2016.0,9684798.0,2023-06-02,Multan,2023.0,6.0,9350.0,Kia Sportage,Engine Check,53604.0,2025-01-09,2025.0,1.0,9738402.0
8523.0,19,Toyota Fortuner,2016.0,9140244.0,2024-05-14,Faisalabad,2024.0,5.0,858.0,Honda City,Tire Rotation,16907.0,2024-04-09,2024.0,4.0,9157151.0
8523.0,19,Toyota Fortuner,2016.0,9140244.0,2024-05-14,Faisalabad,2024.0,5.0,9350.0,Kia Sportage,Engine Check,53604.0,2025-01-09,2025.0,1.0,9193848.0
,20,,,,,,,,2382.0,MG HS,Engine Check,61963.0,2025-03-31,2025.0,3.0,
,20,,,,,,,,2931.0,Suzuki Alto,Battery Replacement,16038.0,2023-02-11,2023.0,2.0,
1870.0,21,Suzuki Cultus,2015.0,3669161.0,2022-10-18,Faisalabad,2022.0,10.0,3588.0,Suzuki Alto,Engine Check,52320.0,2025-06-11,2025.0,6.0,3721481.0
1870.0,21,Suzuki Cultus,2015.0,3669161.0,2022-10-18,Faisalabad,2022.0,10.0,7524.0,Suzuki Cultus,Oil Change,75362.0,2023-07-06,2023.0,7.0,3744523.0
7572.0,21,Changan Alsvin,2022.0,9041424.0,2025-04-05,Islamabad,2025.0,4.0,3588.0,Suzuki Alto,Engine Check,52320.0,2025-06-11,2025.0,6.0,9093744.0
7572.0,21,Changan Alsvin,2022.0,9041424.0,2025-04-05,Islamabad,2025.0,4.0,7524.0,Suzuki Cultus,Oil Change,75362.0,2023-07-06,2023.0,7.0,9116786.0
1459.0,22,Toyota Corolla,2020.0,7713414.0,2021-01-24,Quetta,2021.0,1.0,5094.0,Hyundai Tucson,Oil Change,78074.0,2024-10-17,2024.0,10.0,7791488.0
1611.0,22,Hyundai Tucson,2021.0,9710833.0,2022-12-08,Quetta,2022.0,12.0,5094.0,Hyundai Tucson,Oil Change,78074.0,2024-10-17,2024.0,10.0,9788907.0
7814.0,22,Changan Alsvin,2015.0,4690439.0,2025-01-11,Multan,2025.0,1.0,5094.0,Hyundai Tucson,Oil Change,78074.0,2024-10-17,2024.0,10.0,4768513.0
2310.0,23,Honda City,2023.0,4440573.0,2024-12-24,Islamabad,2024.0,12.0,1105.0,Suzuki Cultus,Tire Rotation,35762.0,2024-03-12,2024.0,3.0,4476335.0
2310.0,23,Honda City,2023.0,4440573.0,2024-12-24,Islamabad,2024.0,12.0,2328.0,Toyota Fortuner,Engine Check,46508.0,2024-11-08,2024.0,11.0,4487081.0
2310.0,23,Honda City,2023.0,4440573.0,2024-12-24,Islamabad,2024.0,12.0,4104.0,Toyota Fortuner,Engine Check,48673.0,2023-06-04,2023.0,6.0,4489246.0
2310.0,23,Honda City,2023.0,4440573.0,2024-12-24,Islamabad,2024.0,12.0,4583.0,Honda Civic,Tire Rotation,47849.0,2022-09-25,2022.0,9.0,4488422.0
8163.0,23,Hyundai Tucson,2020.0,6050272.0,2021-08-13,Islamabad,2021.0,8.0,1105.0,Suzuki Cultus,Tire Rotation,35762.0,2024-03-12,2024.0,3.0,6086034.0
8163.0,23,Hyundai Tucson,2020.0,6050272.0,2021-08-13,Islamabad,2021.0,8.0,2328.0,Toyota Fortuner,Engine Check,46508.0,2024-11-08,2024.0,11.0,6096780.0
8163.0,23,Hyundai Tucson,2020.0,6050272.0,2021-08-13,Islamabad,2021.0,8.0,4104.0,Toyota Fortuner,Engine Check,48673.0,2023-06-04,2023.0,6.0,6098945.0
8163.0,23,Hyundai Tucson,2020.0,6050272.0,2021-08-13,Islamabad,2021.0,8.0,4583.0,Honda Civic,Tire Rotation,47849.0,2022-09-25,2022.0,9.0,6098121.0
8243.0,24,Toyota Corolla,2024.0,5546474.0,2023-03-21,Quetta,2023.0,3.0,9339.0,Honda City,Battery Replacement,16552.0,2023-08-19,2023.0,8.0,5563026.0
9550.0,24,Suzuki Alto,2019.0,4390623.0,2025-04-29,Lahore,2025.0,4.0,9339.0,Honda City,Battery Replacement,16552.0,2023-08-19,2023.0,8.0,4407175.0
3105.0,25,Honda City,2017.0,9553144.0,2025-03-03,Faisalabad,2025.0,3.0,5695.0,Suzuki Cultus,Brake Service,9414.0,2023-05-29,2023.0,5.0,9562558.0
3105.0,25,Honda City,2017.0,9553144.0,2025-03-03,Faisalabad,2025.0,3.0,8770.0,Honda Civic,Oil Change,72495.0,2023-07-28,2023.0,7.0,9625639.0
6253.0,25,Suzuki Alto,2019.0,9104903.0,2022-08-15,Lahore,2022.0,8.0,5695.0,Suzuki Cultus,Brake Service,9414.0,2023-05-29,2023.0,5.0,9114317.0
6253.0,25,Suzuki Alto,2019.0,9104903.0,2022-08-15,Lahore,2022.0,8.0,8770.0,Honda Civic,Oil Change,72495.0,2023-07-28,2023.0,7.0,9177398.0
9664.0,25,Toyota Fortuner,2024.0,5776586.0,2022-11-13,Islamabad,2022.0,11.0,5695.0,Suzuki Cultus,Brake Service,9414.0,2023-05-29,2023.0,5.0,5786000.0
9664.0,25,Toyota Fortuner,2024.0,5776586.0,2022-11-13,Islamabad,2022.0,11.0,8770.0,Honda Civic,Oil Change,72495.0,2023-07-28,2023.0,7.0,5849081.0
3349.0,26,Honda City,2020.0,3050487.0,2024-12-11,Lahore,2024.0,12.0,4328.0,Hyundai Tucson,Engine Check,25154.0,2023-01-11,2023.0,1.0,3075641.0
9916.0,26,Suzuki Cultus,2018.0,4394761.0,2021-07-13,Lahore,2021.0,7.0,4328.0,Hyundai Tucson,Engine Check,25154.0,2023-01-11,2023.0,1.0,4419915.0
5953.0,27,Hyundai Tucson,2023.0,6184206.0,2021-07-31,Faisalabad,2021.0,7.0,3029.0,MG HS,Tire Rotation,59396.0,2023-09-21,2023.0,9.0,6243602.0
5953.0,27,Hyundai Tucson,2023.0,6184206.0,2021-07-31,Faisalabad,2021.0,7.0,6546.0,Changan Alsvin,Brake Service,65444.0,2024-07-24,2024.0,7.0,6249650.0
1708.0,28,Toyota Fortuner,2021.0,6220149.0,2023-10-31,Faisalabad,2023.0,10.0,1069.0,Hyundai Tucson,Tire Rotation,61733.0,2023-09-03,2023.0,9.0,6281882.0
1708.0,28,Toyota Fortuner,2021.0,6220149.0,2023-10-31,Faisalabad,2023.0,10.0,2833.0,Hyundai Tucson,Oil Change,10384.0,2023-06-19,2023.0,6.0,6230533.0
5546.0,28,Changan Alsvin,2017.0,2234891.0,2020-10-26,Lahore,2020.0,10.0,1069.0,Hyundai Tucson,Tire Rotation,61733.0,2023-09-03,2023.0,9.0,2296624.0
5546.0,28,Changan Alsvin,2017.0,2234891.0,2020-10-26,Lahore,2020.0,10.0,2833.0,Hyundai Tucson,Oil Change,10384.0,2023-06-19,2023.0,6.0,2245275.0
1471.0,29,Toyota Corolla,2016.0,8192581.0,2025-08-22,Karachi,2025.0,8.0,7228.0,Kia Sportage,Oil Change,17712.0,2022-07-30,2022.0,7.0,8210293.0
1471.0,29,Toyota Corolla,2016.0,8192581.0,2025-08-22,Karachi,2025.0,8.0,9403.0,Honda Civic,Battery Replacement,34101.0,2022-12-10,2022.0,12.0,8226682.0
1471.0,29,Toyota Corolla,2016.0,8192581.0,2025-08-22,Karachi,2025.0,8.0,9979.0,Honda Civic,Brake Service,14359.0,2022-05-12,2022.0,5.0,8206940.0
5377.0,29,Honda Civic,2021.0,9630111.0,2025-09-10,Faisalabad,2025.0,9.0,7228.0,Kia Sportage,Oil Change,17712.0,2022-07-30,2022.0,7.0,9647823.0
5377.0,29,Honda Civic,2021.0,9630111.0,2025-09-10,Faisalabad,2025.0,9.0,9403.0,Honda Civic,Battery Replacement,34101.0,2022-12-10,2022.0,12.0,9664212.0
5377.0,29,Honda Civic,2021.0,9630111.0,2025-09-10,Faisalabad,2025.0,9.0,9979.0,Honda Civic,Brake Service,14359.0,2022-05-12,2022.0,5.0,9644470.0
7297.0,29,Toyota Corolla,2020.0,8626081.0,2024-08-20,Multan,2024.0,8.0,7228.0,Kia Sportage,Oil Change,17712.0,2022-07-30,2022.0,7.0,8643793.0
7297.0,29,Toyota Corolla,2020.0,8626081.0,2024-08-20,Multan,2024.0,8.0,9403.0,Honda Civic,Battery Replacement,34101.0,2022-12-10,2022.0,12.0,8660182.0
7297.0,29,Toyota Corolla,2020.0,8626081.0,2024-08-20,Multan,2024.0,8.0,9979.0,Honda Civic,Brake Service,14359.0,2022-05-12,2022.0,5.0,8640440.0
8054.0,29,Honda City,2018.0,2287766.0,2025-04-27,Faisalabad,2025.0,4.0,7228.0,Kia Sportage,Oil Change,17712.0,2022-07-30,2022.0,7.0,2305478.0
8054.0,29,Honda City,2018.0,2287766.0,2025-04-27,Faisalabad,2025.0,4.0,9403.0,Honda Civic,Battery Replacement,34101.0,2022-12-10,2022.0,12.0,2321867.0
8054.0,29,Honda City,2018.0,2287766.0,2025-04-27,Faisalabad,2025.0,4.0,9979.0,Honda Civic,Brake Service,14359.0,2022-05-12,2022.0,5.0,2302125.0
8806.0,30,Toyota Fortuner,2017.0,1933936.0,2025-05-04,Peshawar,2025.0,5.0,3213.0,MG HS,Brake Service,29212.0,2022-05-07,2022.0,5.0,1963148.0
8806.0,30,Toyota Fortuner,2017.0,1933936.0,2025-05-04,Peshawar,2025.0,5.0,4955.0,Hyundai Tucson,Battery Replacement,79670.0,2022-02-07,2022.0,2.0,2013606.0
7358.0,31,Changan Alsvin,2024.0,8660612.0,2023-09-17,Islamabad,2023.0,9.0,1359.0,Honda Civic,Battery Replacement,30321.0,2022-06-12,2022.0,6.0,8690933.0
,32,,,,,,,,3926.0,Toyota Corolla,Brake Service,32797.0,2025-01-29,2025.0,1.0,
3304.0,33,Honda City,2018.0,8835092.0,2021-01-02,Multan,2021.0,1.0,4809.0,Honda City,Battery Replacement,48468.0,2023-08-15,2023.0,8.0,8883560.0
8623.0,33,Toyota Corolla,2019.0,7665393.0,2021-09-14,Islamabad,2021.0,9.0,4809.0,Honda City,Battery Replacement,48468.0,2023-08-15,2023.0,8.0,7713861.0
,34,,,,,,,,1263.0,Honda City,Tire Rotation,6140.0,2021-12-16,2021.0,12.0,
,34,,,,,,,,5634.0,Suzuki Cultus,Brake Service,44146.0,2024-08-20,2024.0,8.0,
52.0,35,Suzuki Cultus,2024.0,9804841.0,2023-02-13,Lahore,2023.0,2.0,733.0,Honda Civic,Brake Service,67864.0,2024-11-11,2024.0,11.0,9872705.0
52.0,35,Suzuki Cultus,2024.0,9804841.0,2023-02-13,Lahore,2023.0,2.0,988.0,Changan Alsvin,Brake Service,62522.0,2025-09-11,2025.0,9.0,9867363.0
52.0,35,Suzuki Cultus,2024.0,9804841.0,2023-02-13,Lahore,2023.0,2.0,4239.0,Honda Civic,Tire Rotation,62091.0,2025-03-06,2025.0,3.0,9866932.0
52.0,35,Suzuki Cultus,2024.0,9804841.0,2023-02-13,Lahore,2023.0,2.0,8045.0,Changan Alsvin,Brake Service,75098.0,2022-03-01,2022.0,3.0,9879939.0
52.0,35,Suzuki Cultus,2024.0,9804841.0,2023-02-13,Lahore,2023.0,2.0,8800.0,Toyota Fortuner,Tire Rotation,73556.0,2022-08-12,2022.0,8.0,9878397.0
5378.0,35,Kia Sportage,2019.0,7187251.0,2024-01-29,Karachi,2024.0,1.0,733.0,Honda Civic,Brake Service,67864.0,2024-11-11,2024.0,11.0,7255115.0
5378.0,35,Kia Sportage,2019.0,7187251.0,2024-01-29,Karachi,2024.0,1.0,988.0,Changan Alsvin,Brake Service,62522.0,2025-09-11,2025.0,9.0,7249773.0
5378.0,35,Kia Sportage,2019.0,7187251.0,2024-01-29,Karachi,2024.0,1.0,4239.0,Honda Civic,Tire Rotation,62091.0,2025-03-06,2025.0,3.0,7249342.0
5378.0,35,Kia Sportage,2019.0,7187251.0,2024-01-29,Karachi,2024.0,1.0,8045.0,Changan Alsvin,Brake Service,75098.0,2022-03-01,2022.0,3.0,7262349.0
5378.0,35,Kia Sportage,2019.0,7187251.0,2024-01-29,Karachi,2024.0,1.0,8800.0,Toyota Fortuner,Tire Rotation,73556.0,2022-08-12,2022.0,8.0,7260807.0
8029.0,35,Hyundai Tucson,2020.0,3599161.0,2023-01-30,Multan,2023.0,1.0,733.0,Honda Civic,Brake Service,67864.0,2024-11-11,2024.0,11.0,3667025.0
8029.0,35,Hyundai Tucson,2020.0,3599161.0,2023-01-30,Multan,2023.0,1.0,988.0,Changan Alsvin,Brake Service,62522.0,2025-09-11,2025.0,9.0,3661683.0
8029.0,35,Hyundai Tucson,2020.0,3599161.0,2023-01-30,Multan,2023.0,1.0,4239.0,Honda Civic,Tire Rotation,62091.0,2025-03-06,2025.0,3.0,3661252.0
8029.0,35,Hyundai Tucson,2020.0,3599161.0,2023-01-30,Multan,2023.0,1.0,8045.0,Changan Alsvin,Brake Service,75098.0,2022-03-01,2022.0,3.0,3674259.0
8029.0,35,Hyundai Tucson,2020.0,3599161.0,2023-01-30,Multan,2023.0,1.0,8800.0,Toyota Fortuner,Tire Rotation,73556.0,2022-08-12,2022.0,8.0,3672717.0
1904.0,36,Hyundai Tucson,2018.0,5383212.0,2021-03-04,Karachi,2021.0,3.0,828.0,Suzuki Cultus,Oil Change,34418.0,2024-04-14,2024.0,4.0,5417630.0
1904.0,36,Hyundai Tucson,2018.0,5383212.0,2021-03-04,Karachi,2021.0,3.0,4014.0,Suzuki Alto,Engine Check,31096.0,2022-07-27,2022.0,7.0,5414308.0
1904.0,36,Hyundai Tucson,2018.0,5383212.0,2021-03-04,Karachi,2021.0,3.0,5284.0,Kia Sportage,Oil Change,42613.0,2023-12-13,2023.0,12.0,5425825.0
1904.0,36,Hyundai Tucson,2018.0,5383212.0,2021-03-04,Karachi,2021.0,3.0,7290.0,Toyota Corolla,Brake Service,45765.0,2022-01-29,2022.0,1.0,5428977.0
1382.0,37,Hyundai Tucson,2022.0,5642464.0,2024-10-19,Quetta,2024.0,10.0,1676.0,Hyundai Tucson,Battery Replacement,55515.0,2025-08-07,2025.0,8.0,5697979.0
1382.0,37,Hyundai Tucson,2022.0,5642464.0,2024-10-19,Quetta,2024.0,10.0,8344.0,Changan Alsvin,Tire Rotation,44959.0,2022-10-11,2022.0,10.0,5687423.0
1382.0,37,Hyundai Tucson,2022.0,5642464.0,2024-10-19,Quetta,2024.0,10.0,8459.0,Toyota Corolla,Brake Service,65699.0,2023-03-18,2023.0,3.0,5708163.0
